과목코드,과목명,이수,학점,강의시간,개설학과,교수명,강의실,,,,
100790,일반화학및실험 ,교필,3,월(6/7)-목(1/2),컴공,오세영,청운관(북관)-005 청운관(남관)-317 ,,,,
100790,일반화학및실험 ,교필,3,월(6/7)-목(1/2),컴공,김완주,청운관(남관)-326-1 청운관(남관)-321-3 ,,,,
100790,일반화학및실험 ,교필,3,월(6/7)-수(1/2),컴공,진병우,청운관(북관)-104 청운관(남관)-326 ,,,,
100793,물리학및실험(1) ,교필,3,월(8/9)-목(6/7),컴공,전종훈,혜성관/제2창업보육센터-407 어의관-619-1 ,,,,
100793,물리학및실험(1) ,교필,3,월(8/9)-목(6/7),컴공,최일수,어의관-106 혜성관/제2창업보육센터-409 ,,,,
100793,물리학및실험(1) ,교필,3,월(8/9)-목(6/7),컴공,이상학,혜성관/제2창업보육센터-409 어의관-619-1 ,,,,월89목67
109003,프로그래밍입문(1) ,전선,3,수(1/2/3/4),컴공,차광호,미래관-306 ,,,,
109003,프로그래밍입문(1) ,전선,3,월(1/2/3/4),컴공,이강만,미래관-310 ,,,,
109003,프로그래밍입문(1) ,전선,3,수(5/6/7/8),컴공,석창호,미래관-310 ,,,,
109012,고급프로그래밍 ,전선,2,금(2/3/4),컴공,강정호,미래관-319 ,,,,
109012,고급프로그래밍 ,전선,2,금(6/7/8),컴공,강정호,미래관-319 ,,,,
109015,현대암호학 ,전선,3,월(6/7/8),컴공,박종혁,미래관-319 ,,,,
109023,시스템소프트웨어 ,전선,3,수(6/7/8),컴공,조병호,미래관-109 ,,,,
109023,시스템소프트웨어 ,전선,3,월(6/7/8),컴공,조병호,미래관-107 ,,,,
109028,웹프레임워크 ,전선,3,화(6/7/8/9),컴공,이길흥,미래관-320 ,,,,
109029,컴퓨터그래픽스 ,전선,3,화(1/2/3/4),컴공,고찬,미래관-310 ,,,,
109032,컴퓨터네트워크 ,전선,3,목(1/2/3),컴공,최계원,미래관-218 ,,,,
109032,컴퓨터네트워크 ,전선,3,수(1/2/3),컴공,최계원,미래관-109 ,,,,
109113,캡스톤디자인(1) ,전필,3,금(1/2/3/6/7/8),컴공,석상기,미래관-306 ,,,,
109113,캡스톤디자인(1) ,전필,3,수(2/3/4/6/7/8),컴공,이길흥,미래관-320 ,,,,
109113,캡스톤디자인(1) ,전필,3,금(4/5/6/7/8/9),컴공,신용현,미래관-323 ,,,,
109113,캡스톤디자인(1) ,전필,3,월(1/2/3)-수(6/7/8),컴공,차광호,미래관-323 ,,,,
109113,캡스톤디자인(1) ,전필,3,월(2/3/4)-목(2/3/4),컴공,이창훈,미래관-202 ,,,,
109130,소프트웨어공학 ,전선,3,화(6/7/8/9),컴공,이창훈,미래관-B104 ,,,,
109136,컴퓨터과학개론 ,전선,2,월(5/6),컴공,류욱재,미래관-109 ,,,,
109157,JAVA ,전선,3,화(2/3/4/5),컴공,방혜자,미래관-309 ,,,,
109157,JAVA ,전선,3,목(6/7/8/9),컴공,방혜자,미래관-309 ,,,,
109157,JAVA ,전선,3,수(6/7/8/9),컴공,방혜자,미래관-309 ,,,,
109180,알고리즘 ,전선,3,목(6/7/8/9),컴공,이창훈,미래관-201 ,,,,
109180,알고리즘 ,전선,3,수(6/7/8/9),컴공,이창훈,미래관-201 ,,,,
109255,이산수학 ,전선,3,화(6/7/8),컴공,조병호,미래관-109 ,,,,
109261,웹프로그래밍 ,전선,3,월(1/2/3/4),컴공,김재수,미래관-306 ,,,,
109261,웹프로그래밍 ,전선,3,수(6/7/8/9),컴공,김재수,미래관-306 ,,,,
109270,컴파일러구조 ,전선,3,목(6/7/8),컴공,유은진,미래관-109 ,,,,
109341,데이터베이스 ,전선,3,수(2/3/4),컴공,석상기,미래관-107 ,,,,
109341,데이터베이스 ,전선,3,화(2/3/4),컴공,석상기,미래관-107 ,,,,
109341,데이터베이스 ,전선,3,목(6/7/8),컴공,석상기,미래관-107 ,,,,
109343,컴퓨터시스템구조 ,전선,3,월(3)-화(2/3),컴공,심원,미래관-218 ,,,,
109343,컴퓨터시스템구조 ,전선,3,월(9)-목(2/3),컴공,심원,미래관-201 ,,,,
109415,Introduction to Computers(In English) ,전선,2,월(1/2),컴공,최계원,미래관-107 ,,,,
109416,Introduction to Programming(1)(In English) ,전선,3,수(1/2/3/4),컴공,사예드차탄샤,미래관-319 ,,,,
109418,Introduction to Unix(In English) ,전선,3,월(2/3/4),컴공,이길흥,미래관-320 ,,,,
109419,JAVA (In English) ,전선,3,화(2/3/4/5),컴공,김만식,미래관-306 ,,,,
109425,Web Programming(In English) ,전선,3,수(6/7/8/9),컴공,김만식,미래관-319 ,,,,
109484,임베디드소프트웨어 ,전선,3,수(1/2/3/4),컴공,신용현,미래관-310 ,,,,
109484,임베디드소프트웨어 ,전선,3,월(6/7/8/9),컴공,신용현,미래관-310 ,,,,
109485,윈도우프로그래밍 ,전선,3,금(1/2/3/4),컴공,차광호,미래관-309 ,,,,
109485,윈도우프로그래밍 ,전선,3,금(6/7/8/9),컴공,차광호,미래관-309 ,,,,
109487,수치해석프로그래밍 ,전선,3,금(6/7/8/9),컴공,조영경,미래관-320 ,,,,
109488,유닉스개론 ,전선,3,목(6/7/8),컴공,이길흥,미래관-320 ,,,,
109488,유닉스개론 ,전선,3,화(2/3/4),컴공,이길흥,미래관-320 ,,,,
109500,코업(1) ,전선,6,일(0),컴공,석상기,미래관- ,,,,
